Symbol,Name,Last,Sector,Industry,Time,"10Y %Chg","YTD %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W Chg"
STT,"State Street Corp",63.95,Finance,"Banks - Major Regional","15:59 ET",+39.29%,-31.06%,1.6,22827210000,12030000000,2693000000,7.56,3.62%,-21.68
PVH,"Phillips-Van Heusen Corp",63.4,"Consumer Staples","Textile - Apparel","16:00 ET",-20.76%,-40.18%,2.07,4127475000,9154700000,952300000,10.17,0.25%,-45.18
NEM,"Newmont Mining Corp",62.68,"Basic Materials","Mining - Misc","16:00 ET",+30.06%,+1.29%,0.37,50071440000,12222000000,1166000000,2.9,3.40%,-6.26
CMS,"Cms Energy Corp",62.66,Utilities,"Utility - Electric Power","16:03 ET",+166.04%,-3.50%,0.26,18138864000,7329000000,1353000000,2.76,2.84%,2.27
MET,"Metlife Inc",62.31,Finance,"Insurance - Multi Line","16:00 ET",+124.58%,-0.02%,1.15,50304924000,71080000000,6554000000,9.01,3.28%,-1.29
FBHS,"Fortune Brands Home & Security",62.12,Retail-Wholesale,"Retail - Home Furniture","16:03 ET",+175.35%,-41.64%,1.54,8021086000,7656100000,772400000,5.68,1.80%,-36.55
MCHP,"Microchip Technology",61.55,"Computers and Technology","Semi Analog & Mixed","16:00 ET",+268.50%,-28.90%,1.55,33796836000,6820900000,1285500000,4.23,1.84%,-15.07
SCHW,"The Charles Schwab Corp",61.51,Finance,"Finance - Investment Brokers","16:00 ET",+372.62%,-26.41%,1.09,111040352000,18520000000,5855000000,3.17,1.33%,-10.65
TXT,"Textron Inc",61.35,Aerospace,"Aerospace - Defense","15:59 ET",+142.02%,-20.19%,1.65,12945845000,12382000000,746000000,3.48,0.13%,-7.08
EVRG,"Evergy Inc",61.31,Oils-Energy,"Oil - Production & Pipeline","15:59 ET",+104.74%,-10.68%,0.47,14071591000,5586700000,879700000,3.57,3.62%,-3.24
EIX,"Edison International",61.13,Utilities,"Utility - Electric Power","16:00 ET",+31.99%,-10.17%,0.64,23220940000,14905000000,925000000,4.86,4.49%,2.72
PEG,"Public Service Enterprise Group Inc",60.52,Utilities,"Utility - Electric Power","16:03 ET",+87.60%,-9.14%,0.55,30439822000,9722000000,-648000000,3.7,3.42%,-1.72
DD,"Dupont Denemours Inc",60.35,"Basic Materials","Chemical - Diversified","16:03 ET",+34.85%,-25.04%,1.39,30699776000,16653000000,6467000000,4.11,2.17%,-21.01
OXY,"Occidental Petroleum Corp",60.28,Oils-Energy,"Oil - US Integrated","16:00 ET",-27.61%,+108.55%,1.92,58190192000,25956000000,2322000000,4.79,0.87%,31.26
TRMB,"Trimble Navigation",59.79,"Computers and Technology","Electronics Products - Misc","16:00 ET",+157.16%,-31.40%,1.53,14798400000,3659100000,492700000,2.35,0.00%,-18.38
OKE,"Oneok Inc",59.69,Oils-Energy,"Oil Gas Prod Pipeline MLP","16:00 ET",+42.73%,+1.75%,1.75,26971140000,16540310000,1499710000,3.37,6.12%,3.81
KO,"Coca-Cola Company",59.67,"Consumer Staples","Beverages - Soft","16:00 ET",+51.50%,+1.00%,0.58,256763760000,38655000000,9771000000,2.42,2.87%,4.39
WYNN,"Wynn Resorts Ltd",59.34,"Consumer Discretionary",Gaming,"16:00 ET",-44.07%,-30.00%,2.22,6727129000,3763660000,-755790000,-4.94,0.00%,-65.87
MU,"Micron Technology",59.12,"Computers and Technology","Semi Memory","16:00 ET",+830.27%,-36.16%,1.17,65548356000,27705000000,5861000000,8.3,0.68%,-22.71
MDLZ,"Mondelez Intl Inc",59.04,"Consumer Staples","Food - Misc & Diversified","16:00 ET",+202.80%,-10.78%,0.64,80918032000,28720000000,4300000000,2.92,2.36%,-4.49
L,"Loews Corp",58.91,Finance,"Insurance - Multi Line","16:00 ET",+43.09%,+2.04%,0.85,14407162000,14657000000,1578000000,4.79,0.43%,2.43
SEE,"Sealed Air Corp",58.89,"Industrial Products","Containers - Paper Products","16:03 ET",+279.40%,-12.45%,1.19,8557600000,5533800000,506800000,3.89,1.38%,0.34
GILD,"Gilead Sciences Inc",58.39,Medical,"Medical - Biomedical","16:00 ET",+125.39%,-19.39%,0.37,72486752000,27305000000,6225000000,7.33,4.94%,-9.56
